date,pressure,height,temperature,dewpoint,u_wind,v_wind
2024-01-03 12:00:00,700.0,3052.0615,-4.7461243,-15.8992,1.5873731,2.2979956
2024-01-03 12:00:00,650.0,3631.4297,-7.608307,-20.79855,2.673996,1.2797871
2024-01-03 12:00:00,600.0,4250.787,-10.456879,-26.545254,4.5029917,2.079848
2024-01-03 12:00:00,550.0,4914.39,-14.776154,-32.248844,7.0358257,0.23668766
2024-01-03 12:00:00,500.0,5630.39,-18.335358,-36.62432,3.390829,-3.0898724
2024-01-03 12:00:00,450.0,6409.2646,-23.548798,-41.00223,0.7647424,-4.063922
2024-01-03 12:00:00,400.0,7256.247,-31.44162,-47.24978,-2.4418993,-0.8121176
2024-01-03 12:00:00,350.0,8184.262,-39.828217,-53.136646,-5.628148,0.06504059
2024-01-03 12:00:00,300.0,9218.622,-47.87448,-60.205498,-0.10767174,-3.5294628
2024-01-03 12:00:00,250.0,10397.062,-56.942413,-61.78475,5.8588095,-9.497855
2024-01-03 12:00:00,200.0,11798.027,-58.457535,-70.990395,13.080911,-3.5955753
2024-01-03 12:00:00,150.0,13625.815,-55.070297,-74.18075,19.48877,1.3507729
2024-01-03 12:00:00,100.0,16193.743,-60.88353,-79.9293,20.434738,-4.0958023
2024-01-04 12:00:00,1000.0,132.09691,8.647858,0.15100384,0.9214668,-0.834569
2024-01-04 12:00:00,975.0,340.4362,7.2953186,-1.1915159,0.91046333,-0.8378773
2024-01-04 12:00:00,950.0,553.1602,5.9115295,-2.5558567,0.89276886,-0.8392935
2024-01-04 12:00:00,925.0,770.44257,4.4950256,-3.9878416,0.9041195,-0.84166336
2024-01-04 12:00:00,900.0,992.54474,3.0538635,-5.4228764,0.91974163,-0.8336115
2024-01-04 12:00:00,875.0,1219.6945,1.6039124,-6.902466,0.912179,-0.8313103
2024-01-04 12:00:00,850.0,1452.1564,0.028961182,-8.451782,0.8336544,-0.8229399
2024-01-04 12:00:00,825.0,1690.217,-1.6907654,-9.946948,1.025465,-1.0355434
2024-01-04 12:00:00,800.0,1934.4479,-2.6003113,-12.505536,1.7903478,-3.1605988
2024-01-04 12:00:00,775.0,2185.8262,-3.1977844,-14.362204,2.1558218,-3.0376816
2024-01-04 12:00:00,750.0,2445.2222,-3.2137146,-13.445056,0.52210903,-0.23566777
2024-01-04 12:00:00,700.0,2990.58,-4.16922,-17.975382,-0.921751,2.9888167
2024-01-04 12:00:00,650.0,3570.1602,-8.4409485,-20.350851,0.03312874,3.2455263
2024-01-04 12:00:00,600.0,4185.626,-12.648743,-20.53983,0.5637207,5.288412
2024-01-04 12:00:00,550.0,4844.578,-16.672882,-21.154663,1.751449,9.699313
2024-01-04 12:00:00,500.0,5554.032,-21.512985,-22.11439,4.28726,15.288781
2024-01-04 12:00:00,450.0,6321.1953,-27.620789,-27.52662,5.4527483,17.72522
2024-01-04 12:00:00,400.0,7155.9937,-34.564392,-35.120045,3.9137478,17.980116
2024-01-04 12:00:00,350.0,8073.6787,-41.971497,-41.911896,5.2080564,19.330582
2024-01-04 12:00:00,300.0,9099.95,-49.7809,-49.77729,4.081251,25.710403
2024-01-04 12:00:00,250.0,10265.313,-58.988068,-58.84123,4.446536,26.427841
2024-01-04 12:00:00,200.0,11652.265,-59.251694,-76.59588,11.703875,18.262047
2024-01-04 12:00:00,150.0,13479.112,-55.007965,-74.280655,7.971408,8.476817
2024-01-04 12:00:00,100.0,16074.774,-55.75563,-75.25212,4.937935,2.974022
2024-01-05 12:00:00,1000.0,135.0254,8.122772,2.3335938,1.4590497,0.95495796
2024-01-05 12:00:00,975.0,342.971,6.7732544,0.989377,1.4517941,0.9528246
2024-01-05 12:00:00,950.0,555.29803,5.3726807,-0.38230276,1.4366951,0.93940544
2024-01-05 12:00:00,925.0,772.18585,3.9950562,-1.7623415,1.4756243,0.9320526
2024-01-05 12:00:00,900.0,993.87256,2.5430603,-3.218225,1.4773438,0.9440832
2024-01-05 12:00:00,875.0,1220.6001,1.0994568,-4.6864104,1.4803307,0.939908
2024-01-05 12:00:00,850.0,1452.637,-0.5479431,-6.2736387,1.4450424,1.009387
2024-01-05 12:00:00,825.0,1690.24,-1.9987488,-8.54823,1.8098733,0.7083645
2024-01-05 12:00:00,800.0,1934.0264,-3.522644,-9.984482,0.38615373,-0.6641226
2024-01-05 12:00:00,775.0,2184.1091,-5.351532,-10.7415285,-0.7228384,-3.2874355
2024-01-05 12:00:00,750.0,2440.7922,-6.9467163,-10.9476595,0.055379927,-5.305126
2024-01-05 12:00:00,700.0,2975.5867,-10.544037,-10.856015,4.062215,-8.318027
2024-01-05 12:00:00,650.0,3542.1865,-13.810333,-15.011566,5.373295,-8.911333
2024-01-05 12:00:00,600.0,4146.9946,-16.614105,-20.23985,5.4929743,-7.3168077
2024-01-05 12:00:00,550.0,4795.8447,-20.568176,-23.07312,4.73944,-6.1643305
2024-01-05 12:00:00,500.0,5495.438,-24.420578,-30.152267,6.2961664,-4.48687
2024-01-05 12:00:00,450.0,6254.5107,-30.076813,-38.413624,5.0175314,-3.1231842
2024-01-05 12:00:00,400.0,7080.3833,-37.154465,-43.451637,2.3612013,-0.781847
2024-01-05 12:00:00,350.0,7987.176,-45.233444,-56.536728,3.780161,-1.4691992
2024-01-05 12:00:00,300.0,8993.758,-54.78688,-59.804844,5.36421,-1.0315657
2024-01-05 12:00:00,250.0,10147.554,-55.647614,-72.380264,7.4029837,-8.425158
2024-01-05 12:00:00,200.0,11585.338,-51.506836,-70.62196,9.713228,-9.309414
2024-01-05 12:00:00,150.0,13450.485,-51.167282,-70.68139,9.202808,-3.2675505
2024-01-05 12:00:00,100.0,16047.508,-56.363937,-75.81578,8.132683,-3.2027636
2024-01-06 12:00:00,1000.0,141.19476,7.0453186,-0.36464214,1.261756,1.1556759
2024-01-06 12:00:00,975.0,348.3493,5.6848755,-1.7080598,1.2676085,1.1641998
2024-01-06 12:00:00,950.0,559.8485,4.32312,-3.1121187,1.2663535,1.1221685
2024-01-06 12:00:00,925.0,775.8901,2.9240417,-4.539706,1.2670559,1.1033869
2024-01-06 12:00:00,900.0,996.73517,1.4880066,-5.940488,1.2693093,1.0978622
2024-01-06 12:00:00,875.0,1222.6011,0.015106201,-7.372772,1.2687457,1.1771479
2024-01-06 12:00:00,850.0,1453.7351,-1.559906,-8.95621,1.2796847,1.1783228
2024-01-06 12:00:00,825.0,1690.4481,-3.2922363,-10.490448,1.3820021,1.0470276
2024-01-06 12:00:00,800.0,1933.0409,-4.732361,-10.937289,-0.037512124,1.1429338
2024-01-06 12:00:00,775.0,2181.7256,-6.8953857,-10.815768,-0.7861346,-0.76148796
2024-01-06 12:00:00,750.0,2436.6985,-8.946838,-10.910825,-0.92126083,-3.1076212
2024-01-06 12:00:00,700.0,2966.7993,-13.116089,-12.639279,0.7649887,-5.369216
2024-01-06 12:00:00,650.0,3527.1018,-17.037079,-16.827305,4.2171154,-7.1513233
2024-01-06 12:00:00,600.0,4122.29,-21.484802,-21.053553,9.370831,-8.441725
2024-01-06 12:00:00,550.0,4757.781,-26.048584,-27.70543,13.414724,-9.7116
2024-01-06 12:00:00,500.0,5439.9663,-31.467773,-35.62434,15.251806,-8.789969
2024-01-06 12:00:00,450.0,6175.807,-37.65126,-43.433926,15.21412,-6.0604143
2024-01-06 12:00:00,400.0,6976.9126,-43.865875,-50.45183,13.577747,-3.57518
2024-01-06 12:00:00,350.0,7860.2383,-50.44867,-56.748417,10.535566,-2.7833414
2024-01-06 12:00:00,300.0,8850.925,-55.589172,-66.84897,11.982116,-1.4515543
2024-01-06 12:00:00,250.0,10017.188,-54.004684,-71.7762,14.809859,1.1679802
2024-01-06 12:00:00,200.0,11455.348,-52.257706,-71.22403,20.402023,-0.45754814
2024-01-06 12:00:00,150.0,13315.643,-51.90448,-71.412094,19.443893,3.2318864
