date,flights,max_distance,url
2024-01-22,3,1.78,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-22&filter%5Bvalue_mode%5D=dst
2024-01-23,2,2.02,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-23&filter%5Bvalue_mode%5D=dst
2024-01-24,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-24&filter%5Bvalue_mode%5D=dst
2024-01-25,1,3.09,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-25&filter%5Bvalue_mode%5D=dst
2024-01-26,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-26&filter%5Bvalue_mode%5D=dst
2024-01-27,1,1.63,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-27&filter%5Bvalue_mode%5D=dst
2024-01-28,5,3.04,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-28&filter%5Bvalue_mode%5D=dst
2024-01-29,5,19.71,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-29&filter%5Bvalue_mode%5D=dst
2024-01-30,1,9.2,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-30&filter%5Bvalue_mode%5D=dst
2024-01-31,1,1.34,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-01-31&filter%5Bvalue_mode%5D=dst
2024-02-01,1,12.32,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-01&filter%5Bvalue_mode%5D=dst
2024-02-02,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-02&filter%5Bvalue_mode%5D=dst
2024-02-03,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-03&filter%5Bvalue_mode%5D=dst
2024-02-04,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-04&filter%5Bvalue_mode%5D=dst
